topographic_point.1,0,163845
thing.3,6.813E-02,0.07,18050
thing.8,3.813E-02,0.11,37871
place.3,7.685E-03,0.11,14553
thing.5,7.097E-04,0.11,34690
thing.1,3.061E-03,0.12,55558
matter.1,8.262E-02,0.20,26278
stead.1,1.453E-02,0.21,13719
thing.4,3.174E-02,0.25,32710
thing.2,1.685E-03,0.25,66373
position.1,6.917E-03,0.26,11127
thing.9,5.638E-03,0.26,30267
thing.7,8.624E-03,0.27,32378
branch.1,1.273E-02,0.28,2674
root.1,3.011E-02,0.31,9010
area.6,1.202E-02,0.32,3643
beginning.4,1.636E-03,0.33,2244
place.6,3.154E-02,0.36,3227
green.1,4.598E-03,0.36,6193
area.1,9.353E-03,0.37,41075
seat.1,5.998E-03,0.38,3405
bud.2,1.208E-03,0.38,2187
area.2,2.217E-03,0.38,2994
area.3,2.352E-02,0.40,4077
position.6,9.190E-03,0.41,802
place.13,1.451E-02,0.43,1169
palm.1,4.151E-03,0.43,47303
entity.1,1.466E-02,0.45,3442
place.4,9.509E-03,0.46,16059
area.5,1.838E-03,0.46,23514
orange.2,2.518E-07,0.46,5452
place.2,1.518E-03,0.46,46083
thing.10,3.019E-03,0.46,2768
leaf.1,5.322E-04,0.46,6620
bud.1,1.034E-02,0.47,2426
place.10,3.363E-04,0.47,1472
wood.1,4.984E-03,0.48,33953
growth.1,1.587E-02,0.49,1506
sphere.1,2.894E-04,0.50,629
ash.1,3.619E-03,0.50,9288
country.2,7.753E-03,0.51,21151
seed.1,1.769E-03,0.51,2290
seed.2,1.724E-03,0.51,3471
place.12,2.869E-04,0.51,781
bean.2,1.937E-03,0.51,2434
forest.2,8.369E-03,0.52,4342
jam.1,7.540E-03,0.53,1736
country.4,6.329E-03,0.53,11953
home.1,1.041E-02,0.54,23577
pea.1,7.191E-03,0.55,2832
state.4,5.624E-04,0.55,8389
violet.2,9.830E-03,0.56,8303
apple.1,2.524E-04,0.56,12158
plant.1,1.782E-04,0.56,3756
sugar.1,4.448E-03,0.57,10894
flower.2,3.480E-03,0.57,13226
rose.1,8.024E-04,0.57,11400
willow.1,6.804E-03,0.58,5421
growth.2,2.631E-03,0.58,819
plant.2,4.289E-03,0.59,13367
lumber.1,4.191E-03,0.59,914
sage.1,1.794E-03,0.59,2629
branch.3,1.731E-03,0.59,371
fruit.1,1.448E-03,0.59,12426
flower.1,7.031E-03,0.60,23023
trunk.1,1.189E-02,0.61,7897
source.3,1.014E-02,0.62,961
timber.2,9.147E-04,0.62,1086
pepper.3,1.530E-04,0.62,2782
weed.1,2.440E-03,0.63,4968
rocket.1,1.259E-03,0.63,3418
palm.3,5.322E-04,0.63,3802
branch.2,2.619E-03,0.63,21863
tree.1,2.158E-03,0.63,120528
garden.2,1.239E-03,0.63,797
berry.1,3.342E-03,0.64,2800
trunk.2,9.298E-04,0.64,4793
moss.1,8.557E-05,0.64,2936
pine.1,1.182E-03,0.64,5523
place.15,5.777E-03,0.65,9029
growth.4,2.988E-03,0.65,1059
garden.1,6.974E-03,0.66,23044
decomposition.4,3.859E-03,0.66,467
spice.1,4.570E-04,0.66,1691
tree.2,1.757E-03,0.66,914
sage.3,1.755E-03,0.66,893
lemon.1,5.619E-03,0.67,2544
herb.1,6.941E-04,0.67,1431
forest.1,1.404E-04,0.67,41290
herb.2,3.036E-04,0.67,3751
daisy.1,6.444E-03,0.68,6926
olfactory_property.1,5.626E-03,0.68,1426
grape.1,4.900E-04,0.68,3025
corn.1,6.966E-04,0.68,2844
spice.2,6.461E-03,0.69,889
tobacco.1,2.184E-03,0.69,3042
scent.2,3.837E-03,0.70,15090
bean.1,1.369E-03,0.70,3341
organism.1,1.091E-03,0.70,1262
spiciness.1,2.902E-03,0.70,761
farm.1,2.303E-03,0.70,17361
fix.1,8.975E-04,0.71,598
hayfield.1,2.454E-03,0.71,5165
maple.1,1.226E-03,0.71,1755
aroma.2,2.532E-03,0.71,27648
turf.1,5.661E-04,0.71,911
increase.3,1.762E-03,0.71,411
landscape.1,9.463E-04,0.71,7664
banana.2,4.126E-03,0.72,2608
park.2,9.267E-04,0.72,590
flower.3,3.478E-03,0.72,339
petal.1,7.624E-04,0.72,3391
pot.9,9.618E-04,0.72,1299
violet.1,3.239E-03,0.73,917
strawberry.1,3.216E-04,0.73,3759
ash.2,6.664E-03,0.74,1381
sweet.3,1.937E-03,0.74,1344
sage.2,1.448E-03,0.74,673
grass.1,7.028E-03,0.75,32330
planting.3,3.299E-03,0.75,556
perfume.2,5.522E-04,0.75,2094
nectar.1,4.717E-03,0.75,712
orange.1,6.516E-04,0.75,2945
growth.7,6.423E-04,0.76,520
pear.1,1.877E-03,0.76,684
lawn.1,1.121E-03,0.76,11972
coffee.1,1.612E-03,0.76,76382
hay.1,4.976E-03,0.76,3974
rose.3,1.161E-03,0.77,660
blackberry.1,1.038E-02,0.78,1669
cabbage.1,1.073E-03,0.78,1062
fig.2,6.174E-04,0.78,458
fruit.3,1.777E-03,0.78,385
bean.3,1.603E-04,0.78,418
vegetable.1,3.012E-03,0.78,6058
tomato.1,3.217E-03,0.79,3390
pine.2,8.497E-03,0.79,1107
pasture.1,4.405E-03,0.80,2519
root.8,5.053E-03,0.80,541
timber.3,1.268E-03,0.81,516
corn.3,8.172E-03,0.81,1020
nation.2,3.418E-03,0.82,1262
shrub.1,4.185E-03,0.82,2028
greenhouse.1,9.390E-04,0.82,1235
blight.1,2.773E-03,0.82,525
lemon.4,6.656E-04,0.83,515
leaf.2,1.160E-03,0.83,390
gamboge.2,1.266E-02,0.84,282
elm.1,3.346E-03,0.84,831
green.6,2.638E-03,0.85,723
garden.3,2.975E-03,0.85,5285
turf.2,5.468E-03,0.85,563
planting.1,4.447E-04,0.85,237
monstrosity.2,8.432E-05,0.85,648
landscape.2,1.569E-03,0.86,521
greens.1,1.945E-03,0.86,469
jamming.1,8.929E-04,0.86,202
ancestry.2,1.602E-05,0.86,453
vitamin.1,2.379E-03,0.86,1192
luggage_compartment.1,7.865E-04,0.86,4380
myrtle.1,7.689E-04,0.86,1090
salad.1,4.526E-03,0.87,5088
torso.1,2.556E-03,0.87,386
pepper.4,9.347E-03,0.88,550
putrefaction.1,5.689E-03,0.88,432
yield.3,1.388E-03,0.89,276
proboscis.2,2.995E-03,0.89,358
freak.1,2.109E-03,0.89,688
coconut.1,3.384E-03,0.89,961
berry.2,1.017E-02,0.90,339
ancestor.1,9.103E-04,0.91,265
thing.11,3.087E-03,0.91,1884
landscape.4,1.141E-03,0.91,229
capsicum.1,5.291E-03,0.92,267
plant.4,1.861E-03,0.92,171
poppy.1,9.672E-03,0.93,311
crush.2,4.226E-03,0.93,227
maple.2,2.653E-03,0.93,268
bundle.2,1.008E-05,0.93,934
alga.1,5.912E-03,0.94,391
corn.2,2.088E-03,0.94,308
carbohydrate.1,5.291E-03,0.95,312
orange.3,4.518E-04,0.95,217
melon.1,5.543E-03,0.95,918
banana.1,9.964E-03,0.96,226
lineage.1,4.620E-05,0.96,198
tulip.1,2.025E-03,0.97,811
farming.1,9.758E-04,0.97,295
turf.3,5.952E-03,0.97,213
beech.1,9.445E-03,0.98,226
root.3,9.839E-03,0.99,144
coffee.2,2.917E-03,0.99,969
shrubbery.2,4.855E-03,1.00,580
semen.1,1.825E-02,1.02,1253
gelatin.2,2.670E-03,1.02,306
fig.4,3.832E-03,1.02,294
coconut.2,3.818E-02,1.06,230
wood.8,2.314E-03,1.06,131
jelly.2,2.093E-02,1.09,160
apple.2,1.084E-02,1.10,228
honeysuckle.1,2.308E-03,1.10,681
wallflower.3,1.249E-02,1.11,164
lemon.3,8.063E-03,1.12,182
dogwood.1,1.836E-02,1.14,199
lilac.1,2.728E-02,1.16,351
avocado.1,1.061E-02,1.18,433
branch.5,9.016E-03,1.18,106
shrubbery.1,1.087E-02,1.20,288
agribusiness.1,1.132E-03,1.20,143
coconut.3,1.372E-03,1.20,165
oleander.1,1.293E-02,1.21,142
peony.1,4.967E-03,1.22,166
verbena.1,1.603E-03,1.22,208
landscape.3,1.531E-02,1.23,128
pea.3,9.805E-03,1.24,92
space.7,1.264E-02,1.25,76
dessert.1,2.932E-02,1.28,89
eggplant.1,7.935E-04,1.28,158
daffodil.1,1.914E-02,1.30,473
outgrowth.1,2.312E-03,1.31,79
radish.1,5.889E-03,1.31,117
pepper.1,1.004E-03,1.31,84
growth.6,6.076E-03,1.32,77
jelly.3,1.469E-02,1.33,78
timbre.1,1.146E-02,1.35,70
arm.2,3.767E-03,1.35,64
blight.2,7.810E-05,1.35,76
chrysanthemum.1,1.795E-02,1.37,129
care.1,3.574E-03,1.37,64
hyacinth.2,1.330E-03,1.37,115
root.4,3.485E-02,1.41,64
pieplant.1,9.184E-04,1.41,103
rocket.2,1.187E-02,1.42,59
attic.3,1.779E-02,1.44,76
tobacco.2,6.779E-03,1.44,59
plowing.1,3.134E-04,1.44,61
citron.1,1.800E-02,1.46,62
wallflower.1,2.070E-02,1.48,53
eatage.1,3.531E-02,1.52,57
boodle.1,1.772E-02,1.54,51
myrtle.2,1.994E-03,1.54,47
rocket.4,1.160E-02,1.55,42
skyrocket.2,9.997E-03,1.56,41
chocolate.3,2.511E-03,1.56,45
seeded_player.1,2.789E-02,1.59,43
sweet.4,7.324E-02,1.66,33
grape.2,1.409E-02,1.68,33
weed.2,2.553E-02,1.70,31
leaf.3,1.831E-02,1.72,30
solution.4,1.937E-02,1.74,29
planting.2,1.004E-02,1.75,29
coffee_bean.1,8.583E-03,1.76,28
palm.2,2.104E-02,1.78,26
organism.2,4.103E-02,1.82,24
elm.2,1.005E-02,1.83,35
pea.2,1.396E-02,1.85,23
orange.4,3.320E-02,1.88,22
pear.2,1.734E-03,1.88,22
wood.5,1.135E-02,1.89,21
eggplant.2,8.884E-02,1.98,19
green.4,1.331E-02,1.99,17
pod.2,1.109E-02,2.01,17
hyacinth.1,3.751E-02,2.04,16
tomato.2,8.484E-02,2.13,13
larkspur.1,5.837E-02,2.19,12
thing.12,1.829E-02,2.20,11
blush_wine.1,4.520E-03,2.21,11
foliation.3,1.684E-03,2.21,11
vegetable.2,4.595E-02,2.26,10
wood.3,4.981E-03,2.26,10
emergence.1,4.545E-02,2.31,9
tree.3,6.166E-02,2.37,8
ash.3,1.428E-03,2.37,8
blackberry.2,5.396E-03,2.38,8
wood.4,6.336E-02,2.44,7
chrysanthemum.2,5.388E-03,2.44,7
green.3,4.791E-03,2.45,7
lemon.5,2.379E-04,2.45,7
bunk.4,6.487E-02,2.51,6
figure.1,2.047E-03,2.52,6
cabbage.3,1.677E-03,2.52,6
melon.2,9.766E-04,2.52,6
plaza.1,8.801E-02,2.61,5
corn.7,1.157E-01,2.72,4
grapeshot.1,1.464E-03,2.72,4
woodwind.1,1.480E-01,2.87,3
wood.6,1.192E-04,2.87,3
supergrass.1,6.234E-04,2.87,3
ambrosia.4,4.071E-04,2.87,3
decoration.2,2.065E-01,3.08,2
nectar.2,2.007E-04,3.08,2
grass.2,3.478E-01,3.43,1
corn_whiskey.1,2.166E-05,3.43,1
etymon.1,5.242E-06,3.43,1
strawberry.3,8.270E-07,3.43,1
plant.3,1.272E-05,3.43,1
rocket.3,2.257E-05,3.43,1
department_of_agriculture.1,1.451E-05,3.43,1
willow.2,6.694E-06,3.43,1
radish_plant.1,5.531E-05,3.43,1
dogwood.2,1.283E-05,3.43,1
avocado.2,4.098E-06,3.43,1
